entry,name,subname,included_spawn_count,primary_category,participation_mode,role_or_profession,unique_named,identity_status,review_status,classification_basis,notes
6,Kobold Vermin,,33,COMBATANT,FULL_AGENT,skirmisher,NO,GENERIC,ACCEPTED_DEFAULT,"humanoid + current hostile faction/name evidence; role/category from ROLE_OVERRIDES, not the heuristic itself (see AIWorld_Current_Roadmap.md)",
30,Forest Spider,,16,PREDATOR,FULL_AGENT,predator,NO,GENERIC,ACCEPTED_DEFAULT,predatory creature name/current faction evidence,
38,Defias Thug,,71,COMBATANT,FULL_AGENT,bandit,NO,GENERIC,ACCEPTED_DEFAULT,"humanoid + current hostile faction/name evidence; role/category from ROLE_OVERRIDES, not the heuristic itself (see AIWorld_Current_Roadmap.md)",
40,Kobold Miner,,51,CIVILIAN,FULL_AGENT,miner,NO,GENERIC,ACCEPTED_DEFAULT,"humanoid + current hostile faction/name evidence; role/category from ROLE_OVERRIDES, not the heuristic itself (see AIWorld_Current_Roadmap.md)",
43,Mine Spider,,8,PREDATOR,FULL_AGENT,predator,NO,GENERIC,ACCEPTED_DEFAULT,predatory creature name/current faction evidence,
46,Murloc Forager,,58,CIVILIAN,FULL_AGENT,forager,NO,GENERIC,ACCEPTED_DEFAULT,"humanoid + current hostile faction/name evidence; role/category from ROLE_OVERRIDES, not the heuristic itself (see AIWorld_Current_Roadmap.md)",
54,Corina Steele,Weaponsmith,1,MERCHANT_VENDOR,FULL_AGENT,Weaponsmith,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,TrinityCore vendor/repair NPC flag,
60,Ruklar the Trapper,,1,COMBATANT,FULL_AGENT,trapper,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,"humanoid + current hostile faction/name evidence; role/category from ROLE_OVERRIDES, not the heuristic itself (see AIWorld_Current_Roadmap.md)",
61,Thuros Lightfingers,,8,COMBATANT,FULL_AGENT,thief,NO,NAMED_MULTI_SPAWN,ACCEPTED_MANUAL,"humanoid + current hostile faction/name evidence; role/category from ROLE_OVERRIDES, not the heuristic itself (see AIWorld_Current_Roadmap.md)","Named template (Thuros Lightfingers) with 8 permanent spawns; unique_named stays NO because the entity is not unique in the census, flagged identity_status=NAMED_MULTI_SPAWN for later world-data cleanup."
66,Tharynn Bouden,Trade Supplies,1,MERCHANT_VENDOR,FULL_AGENT,Trade Supplies,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,TrinityCore vendor/repair NPC flag,
68,Stormwind City Guard,,3,GUARD,FULL_AGENT,guard,NO,GENERIC,ACCEPTED_DEFAULT,guard/marshal/deputy/sergeant role in name,
69,Diseased Timber Wolf,,36,PREDATOR,FULL_AGENT,predator,NO,GENERIC,ACCEPTED_DEFAULT,predatory creature name/current faction evidence,
74,Kurran Steele,Cloth & Leather Armor Merchant,1,MERCHANT_VENDOR,FULL_AGENT,Cloth & Leather Armor Merchant,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,TrinityCore vendor/repair NPC flag,
78,Janos Hammerknuckle,Weaponsmith,1,MERCHANT_VENDOR,FULL_AGENT,Weaponsmith,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,TrinityCore vendor/repair NPC flag,
79,Narg the Taskmaster,,1,COMBATANT,FULL_AGENT,overseer,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,"humanoid + current hostile faction/name evidence; role/category from ROLE_OVERRIDES, not the heuristic itself (see AIWorld_Current_Roadmap.md)",
80,Kobold Laborer,,25,CIVILIAN,FULL_AGENT,laborer,NO,GENERIC,ACCEPTED_DEFAULT,"humanoid + current hostile faction/name evidence; role/category from ROLE_OVERRIDES, not the heuristic itself (see AIWorld_Current_Roadmap.md)",
94,Defias Cutpurse,,40,COMBATANT,FULL_AGENT,bandit,NO,GENERIC,ACCEPTED_DEFAULT,"humanoid + current hostile faction/name evidence; role/category from ROLE_OVERRIDES, not the heuristic itself (see AIWorld_Current_Roadmap.md)",
97,Riverpaw Runt,,22,COMBATANT,FULL_AGENT,skirmisher,NO,GENERIC,ACCEPTED_DEFAULT,"humanoid + current hostile faction/name evidence; role/category from ROLE_OVERRIDES, not the heuristic itself (see AIWorld_Current_Roadmap.md)",
99,Morgaine the Sly,,1,COMBATANT,FULL_AGENT,bandit,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,"humanoid + current hostile faction/name evidence; role/category from ROLE_OVERRIDES, not the heuristic itself (see AIWorld_Current_Roadmap.md)",
100,Gruff Swiftbite,,5,COMBATANT,FULL_AGENT,skirmisher,NO,NAMED_MULTI_SPAWN,ACCEPTED_MANUAL,"humanoid + current hostile faction/name evidence; role/category from ROLE_OVERRIDES, not the heuristic itself (see AIWorld_Current_Roadmap.md)","Named template (Gruff Swiftbite) with 5 permanent spawns; unique_named stays NO because the entity is not unique in the census, flagged identity_status=NAMED_MULTI_SPAWN for later world-data cleanup."
103,Garrick Padfoot,,1,COMBATANT,FULL_AGENT,bandit,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,"humanoid + current hostile faction/name evidence; role/category from ROLE_OVERRIDES, not the heuristic itself (see AIWorld_Current_Roadmap.md)",
113,Stonetusk Boar,,52,PREY_FAUNA,LIGHTWEIGHT_BACKGROUND,fauna,NO,GENERIC,ACCEPTED_DEFAULT,beast/critter/non-combat-pet permanent population,
116,Defias Bandit,,47,COMBATANT,FULL_AGENT,bandit,NO,GENERIC,ACCEPTED_DEFAULT,"humanoid + current hostile faction/name evidence; role/category from ROLE_OVERRIDES, not the heuristic itself (see AIWorld_Current_Roadmap.md)",
118,Prowler,,83,PREDATOR,FULL_AGENT,predator,NO,GENERIC,ACCEPTED_DEFAULT,predatory creature name/current faction evidence,
119,Longsnout,,9,PREY_FAUNA,LIGHTWEIGHT_BACKGROUND,fauna,NO,GENERIC,ACCEPTED_DEFAULT,beast/critter/non-combat-pet permanent population,
151,Brog Hamfist,General Supplies,1,MERCHANT_VENDOR,FULL_AGENT,General Supplies,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,TrinityCore vendor/repair NPC flag,
152,Brother Danil,General Supplies,1,MERCHANT_VENDOR,FULL_AGENT,General Supplies,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,TrinityCore vendor/repair NPC flag,
190,Dermot Johns,Cloth & Leather Armor Merchant,1,MERCHANT_VENDOR,FULL_AGENT,Cloth & Leather Armor Merchant,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,TrinityCore vendor/repair NPC flag,
196,Eagan Peltskinner,,1,CIVILIAN,FULL_AGENT,civilian,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,remaining permanent humanoid,
197,Marshal McBride,,1,GUARD,FULL_AGENT,guard,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,guard/marshal/deputy/sergeant role in name,
198,Khelden Bremen,Mage Trainer,1,TRAINER,FULL_AGENT,Mage Trainer,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,TrinityCore trainer NPC flag/subname,
240,Marshal Dughan,,1,GUARD,FULL_AGENT,guard,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,guard/marshal/deputy/sergeant role in name,
241,"Remy ""Two Times""",,1,CIVILIAN,FULL_AGENT,civilian,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,remaining permanent humanoid,
244,Ma Stonefield,,1,CIVILIAN,FULL_AGENT,civilian,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,remaining permanent humanoid,
246,Auntie Bernice Stonefield,,1,CIVILIAN,FULL_AGENT,civilian,YES,UNIQUE_NAMED,ACCEPTED_DEFAULT,remaining permanent humanoid,
